test_index,index,label,shape_id,text,top,left,right,bottom,width,height,slide_height,slide_width
2,1,Design element,124,,29.98,-29.99,91.69,91.7,121.68,61.72,405,720
2,2,Title,123,Introductions.,42.85,72,648,67.02,576,24.17,405,720
2,3,"Name\, title\, picture\, and quick bio of people","[127\, 128\, 129\, 130\, 131\, 132\, 133\, 134\, 135\, 136\, 137\, 138\, 139\, 140\, 141\, 142\, 143\, 144\, 145\, 146\, 147\, 148\, 149\, 150\, 151\, 152\, 153\, 154\, 155\, 156]",nan,84.05,71.91,684.2,331.89,612.29,247.84,405,720
2,3.01,Oliver Halter,"[130\, 139\, 156]",nan,84.05,71.91,178.77,183.32,106.87,99.27,405,720
2,03.01.01,Picture,156,,84.05,72,129.59,141.64,57.59,57.59,405,720
2,03.01.02,Title,130,Oliver HalterPartner,144.64,71.91,178.77,159.78,106.87,15.14,405,720
2,03.01.03,Quick bio,139,30 years experience in enterprise tech,168.18,71.91,166.16,183.32,94.25,15.14,405,720
2,3.02,Jordan Katz,"[128\, 134\, 142]",nan,84.05,187.6,294.47,183.32,106.87,99.27,405,720
2,03.02.01,Picture,128,,84.05,187.6,245.19,141.64,57.59,57.59,405,720
2,03.02.02,Title,134,Jordan KatzPartner,144.64,187.6,294.47,159.78,106.87,15.14,405,720
2,03.02.03,Quick bio,142,Leader of Manifold’s HealthCare practice,168.18,187.6,294.47,183.32,106.87,15.14,405,720
2,3.03,Erich Klotz,"[145\, 150\, 154]",nan,84.05,307.67,423.65,183.32,115.98,99.27,405,720
2,03.03.01,Picture,154,,84.05,307.67,365.26,141.64,57.59,57.59,405,720
2,03.03.02,Title,145,Erich KlotzSenior Director,144.64,307.67,423.65,159.78,115.98,15.14,405,720
2,03.03.03,Quick bio,150,16 years experience in healthcare tech architecture & strategy,168.18,307.67,414.53,183.32,106.87,15.14,405,720
2,3.04,Carlo Sanchez,"[127\, 129\, 138]",nan,84.05,438,546,183.32,108,99.27,405,720
2,03.04.01,Picture,129,,84.05,438,495.59,141.64,57.59,57.59,405,720
2,03.04.02,Title,127,Carlo SanchezDirector,144.64,438,544.87,159.78,106.87,15.14,405,720
2,03.04.03,Quick bio,138,"Experienced healthcare consultant\Ex-BCG\, UofC MBA",168.18,438,546,183.32,108,15.14,405,720
2,3.05,Daniela Terrizzi,"[131\, 133\, 140]",nan,84.05,567.43,684.2,183.32,116.76,99.27,405,720
2,03.05.01,Picture,133,,84.05,567.43,625.03,141.64,57.59,57.59,405,720
2,03.05.02,Title,131,"Daniela Terrizzi\, PhD\, RN Manager",144.64,567.43,683.42,159.78,115.98,15.14,405,720
2,03.05.03,Quick bio,140,"Asst Prof UIC\, 25 years healthcare experience\Fulbright Scholar",168.18,567.43,684.2,183.32,116.76,15.14,405,720
2,3.06,Tom Weakland,"[136\, 144\, 149]",nan,231.1,71.91,179.91,331.22,108,100.11,405,720
2,03.06.01,Picture,136,,231.1,71.91,129.5,288.69,57.59,57.59,405,720
2,03.06.02,Title,144,Tom WeaklandSenior Advisor,290.75,71.91,178.77,305.89,106.87,15.14,405,720
2,03.06.03,Quick bio,149,Led PwC’s Healthcare Advisory Practice,316.08,71.91,179.91,331.22,108,15.14,405,720
2,3.07,Mary Van De Kamp,"[147\, 152\, 155]",nan,231.1,187.6,295.6,331.22,108,100.11,405,720
2,03.07.01,Picture,155,,231.1,187.6,245.19,288.69,57.59,57.59,405,720
2,03.07.02,Title,147,Mary Van De Kamp Senior Advisor,290.75,187.6,294.47,305.89,106.87,15.14,405,720
2,03.07.03,Quick bio,152,"Former Chief Clinical Officer\, Kindred HealthCare",316.08,187.6,295.6,331.22,108,15.14,405,720
2,3.08,Al Klein,"[137\, 143\, 148]",nan,231.1,307.67,415.67,331.22,108,100.11,405,720
2,03.08.01,Picture,137,,231.1,307.67,365.26,288.69,57.59,57.59,405,720
2,03.08.02,Title,143,Al KleinSenior Advisor,290.75,307.67,414.53,305.89,106.87,15.14,405,720
2,03.08.03,Quick bio,148,30+ years experience in healthcare technology,316.08,307.67,415.67,331.22,108,15.14,405,720
2,3.09,Kelly Pollard,"[146\, 151\, 153]",nan,231.1,438,546,331.89,108,100.78,405,720
2,03.09.01,Picture,153,,231.1,438,495.59,288.69,57.59,57.59,405,720
2,03.09.02,Title,146,Kelly PollardSenior Associate,290.75,438,544.87,305.89,106.87,15.14,405,720
2,03.09.03,Quick bio,151,RN and healthcare consultantMBA NYU Stern,316.75,438,546,331.89,108,15.14,405,720
2,3.1,James Zuercher,"[132\, 135\, 141]",nan,231.1,567.43,675.43,331.22,108,100.11,405,720
2,03.10.01,Picture,135,,231.1,567.43,625.03,288.69,57.59,57.59,405,720
2,03.10.02,Title,132,James Zuercher Senior Associate,290.75,567.43,674.3,305.89,106.87,15.14,405,720
2,03.10.03,Quick bio,141,"Experienced healthcare consultant\UofC MBA",316.08,567.43,675.43,331.22,108,15.14,405,720
2,4,Page number,125,1,373.3,36,79.2,387,43.2,13.7,405,720
2,5,Manifold logo,126,,374.05,622.28,684,383.96,61.72,9.91,405,720
