test_index,index,label,shape_id,section_type,start_char,end_char,cells,text,top,left,right,bottom,width,height,slide_height,slide_width
22,01,"Title","[""4""]",shape_group,,,"","Summary",32.1,24.54,695.46,77.2,670.91,45.09,405.0,720.0
22,02,"Table","[""6""]",shape_group,,,"","",85.79,53.44,675.11,384.59,621.67,298.8,405.0,720.0
22,02.01,"Potential problem","[""6.0.0""\, ""6.0.1""\, ""6.0.2""\, ""6.0.3""\, ""6.0.4""\, ""6.0.5""\, ""6.0.6""]",row,,,"[""0.0""\, ""0.1""\, ""0.2""\, ""0.3""\, ""0.4""\, ""0.5""\, ""0.6""]","Potential problem Piedmont Marshfield Methodist Christiana Wakemed Multicare",85.79,53.44,675.11,104.39,621.67,18.6,405.0,720.0
22,02.02,"Potential problem","[""6.0.0""\, ""6.1.0""\, ""6.2.0""\, ""6.3.0""\, ""6.4.0""\, ""6.5.0""\, ""6.6.0""\, ""6.7.0""\, ""6.8.0""\, ""6.9.0""\, ""6.10.0""\, ""6.11.0""\, ""6.12.0""\, ""6.13.0""\, ""6.14.0""]",col,,,"[""0.0""\, ""1.0""\, ""2.0""\, ""3.0""\, ""4.0""\, ""5.0""\, ""6.0""\, ""7.0""\, ""8.0""\, ""9.0""\, ""10.0""\, ""11.0""\, ""12.0""\, ""13.0""\, ""14.0""]","Potential problem Insufficient problem description Inaccurate problem coding Insufficient resolution description Inaccurate resolution coding WO closed right after opening No part number in WO needing parts Inaccurate downtime impact Low remote fix rate Low fix right first time rate WO’s transferred to other techs PM takes longer than estimated Date/time of service not recorded Labor cost not recorded Parts cost not recorded",85.79,53.44,216.9,384.59,163.46,298.8,405.0,720.0
22,02.03,"Piedmont","[""6.0.1""\, ""6.1.1""\, ""6.2.1""\, ""6.3.1""\, ""6.4.1""\, ""6.5.1""\, ""6.6.1""\, ""6.7.1""\, ""6.8.1""\, ""6.9.1""\, ""6.10.1""\, ""6.11.1""\, ""6.12.1""\, ""6.13.1""\, ""6.14.1""]",col,,,"[""0.1""\, ""1.1""\, ""2.1""\, ""3.1""\, ""4.1""\, ""5.1""\, ""6.1""\, ""7.1""\, ""8.1""\, ""9.1""\, ""10.1""\, ""11.1""\, ""12.1""\, ""13.1""\, ""14.1""]","Piedmont Not a problem Problem No data yet No data yet Problem No data yet No data yet Not a problem Problem Problem Problem Problem Problem Not a problem",85.79,216.9,297.58,384.59,80.69,298.8,405.0,720.0
22,02.04,"Marshfield","[""6.0.2""\, ""6.1.2""\, ""6.2.2""\, ""6.3.2""\, ""6.4.2""\, ""6.5.2""\, ""6.6.2""\, ""6.7.2""\, ""6.8.2""\, ""6.9.2""\, ""6.10.2""\, ""6.11.2""\, ""6.12.2""\, ""6.13.2""\, ""6.14.2""]",col,,,"[""0.2""\, ""1.2""\, ""2.2""\, ""3.2""\, ""4.2""\, ""5.2""\, ""6.2""\, ""7.2""\, ""8.2""\, ""9.2""\, ""10.2""\, ""11.2""\, ""12.2""\, ""13.2""\, ""14.2""]","Marshfield No data yet Problem No data yet Problem No data yet No data yet No data yet No data yet No data yet No data yet No data yet Not a problem Not a problem Not a problem",85.79,297.58,364.95,384.59,67.36,298.8,405.0,720.0
22,02.05,"Methodist","[""6.0.3""\, ""6.1.3""\, ""6.2.3""\, ""6.3.3""\, ""6.4.3""\, ""6.5.3""\, ""6.6.3""\, ""6.7.3""\, ""6.8.3""\, ""6.9.3""\, ""6.10.3""\, ""6.11.3""\, ""6.12.3""\, ""6.13.3""\, ""6.14.3""]",col,,,"[""0.3""\, ""1.3""\, ""2.3""\, ""3.3""\, ""4.3""\, ""5.3""\, ""6.3""\, ""7.3""\, ""8.3""\, ""9.3""\, ""10.3""\, ""11.3""\, ""12.3""\, ""13.3""\, ""14.3""]","Methodist No data yet Problem Problem No data yet Problem Not a problem No data yet No data yet Problem Not a problem Problem Problem Problem Not a problem",85.79,364.95,435.27,384.59,70.32,298.8,405.0,720.0
22,02.06,"Christiana","[""6.0.4""\, ""6.1.4""\, ""6.2.4""\, ""6.3.4""\, ""6.4.4""\, ""6.5.4""\, ""6.6.4""\, ""6.7.4""\, ""6.8.4""\, ""6.9.4""\, ""6.10.4""\, ""6.11.4""\, ""6.12.4""\, ""6.13.4""\, ""6.14.4""]",col,,,"[""0.4""\, ""1.4""\, ""2.4""\, ""3.4""\, ""4.4""\, ""5.4""\, ""6.4""\, ""7.4""\, ""8.4""\, ""9.4""\, ""10.4""\, ""11.4""\, ""12.4""\, ""13.4""\, ""14.4""]","Christiana No data yet Problem No data yet Not a problem Not a problem Problem No data yet No data yet Problem Not a problem No data yet Problem Not a problem Not a problem",85.79,435.27,515.96,384.59,80.69,298.8,405.0,720.0
22,02.07,"Wakemed","[""6.0.5""\, ""6.1.5""\, ""6.2.5""\, ""6.3.5""\, ""6.4.5""\, ""6.5.5""\, ""6.6.5""\, ""6.7.5""\, ""6.8.5""\, ""6.9.5""\, ""6.10.5""\, ""6.11.5""\, ""6.12.5""\, ""6.13.5""\, ""6.14.5""]",col,,,"[""0.5""\, ""1.5""\, ""2.5""\, ""3.5""\, ""4.5""\, ""5.5""\, ""6.5""\, ""7.5""\, ""8.5""\, ""9.5""\, ""10.5""\, ""11.5""\, ""12.5""\, ""13.5""\, ""14.5""]","Wakemed No data yet Problem No data yet Problem Problem\, but mainly because of after-hours Problem No data yet No data yet Problem Not a problem No data yet Not a problem Not a problem Not a problem",85.79,515.96,596.64,384.59,80.69,298.8,405.0,720.0
22,02.08,"Multicare","[""6.0.6""\, ""6.1.6""\, ""6.2.6""\, ""6.3.6""\, ""6.4.6""\, ""6.5.6""\, ""6.6.6""\, ""6.7.6""\, ""6.8.6""\, ""6.9.6""\, ""6.10.6""\, ""6.11.6""\, ""6.12.6""\, ""6.13.6""\, ""6.14.6""]",col,,,"[""0.6""\, ""1.6""\, ""2.6""\, ""3.6""\, ""4.6""\, ""5.6""\, ""6.6""\, ""7.6""\, ""8.6""\, ""9.6""\, ""10.6""\, ""11.6""\, ""12.6""\, ""13.6""\, ""14.6""]","Multicare No data yet No data yet No data yet No data yet No data yet No data yet No data yet No data yet No data yet No data yet No data yet No data yet No data yet No data yet",85.79,596.64,675.11,384.59,78.47,298.8,405.0,720.0
