,shape_id,label,text,top,bottom,left,right,width,height,section_type,i,parent_i,index,shape_name,cells,,shape_count,timestamp
0,['563'],,Prioritized for further analysis,132.9651947,183.8707047,628.8529663,710.986824,82.13385773,50.90550995,individual_shape,0,,7,,,,,
1,"['564.0.0', '564.1.0', '564.2.0', '564.3.0', '564.4.0', '564.5.0', '564.6.0', '564.7.0', '564.8.0', '564.9.0', '564.10.0', '564.11.0', '564.12.0', '564.13.0']",Trend,Trend Geographic diversification of supply chain Industry recovery and normalization Increased cyberthreats Automotive/semiconductor partnerships Talent shortage Innovations in manufacturing & design (incl. application of AI) Advanced node technologies Demand growth from automotive sector (AV/EV) Demand growth from edge computing Demand growth from 5G / 6G Demand growth from generative AI ESG and sustainability improvements Metaverse growth,92.64307404,327.5485811,36,320.5137939,284.5137939,234.9055071,col,,,3.01,564,"['0.0', '1.0', '2.0', '3.0', '4.0', '5.0', '6.0', '7.0', '8.0', '9.0', '10.0', '11.0', '12.0', '13.0']",,,
2,"['564.0.1', '564.1.1', '564.2.1', '564.3.1', '564.4.1', '564.5.1', '564.6.1', '564.7.1', '564.8.1', '564.9.1', '564.10.1', '564.11.1', '564.12.1', '564.13.1', '569', '570', '574', '575', '576', '577', '578', '579', '580', '581', '590', '600', '601']",Impact onsemiconductor industry,Impact onsemiconductor industry             ,92.64307404,327.5485811,320.5137939,469.9803314,149.4665375,234.9055071,col,,,3.02,564,"['0.1', '1.1', '2.1', '3.1', '4.1', '5.1', '6.1', '7.1', '8.1', '9.1', '10.1', '11.1', '12.1', '13.1']",,,
3,['569'],harvey ball,,121.9810257,138.3016548,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,16,,03.02.01,,,,,
4,['570'],harvey ball,,137.7635498,154.0841789,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,17,,03.02.02,,,,,
5,['574'],harvey ball,,153.54599,169.8666191,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,21,,03.02.03,,,,,
6,['575'],harvey ball,,185.1110229,201.4316521,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,22,,03.02.04,,,,,
7,['576'],harvey ball,,200.8935394,217.2141685,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,23,,03.02.05,,,,,
8,['577'],harvey ball,,216.6760559,232.996685,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,24,,03.02.06,,,,,
9,['578'],harvey ball,,232.4585114,248.7791405,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,25,,03.02.07,,,,,
10,['579'],harvey ball,,264.0235291,280.3441582,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,26,,03.02.08,,,,,
11,['580'],harvey ball,,295.5885925,311.9092216,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,27,,03.02.09,,,,,
12,['581'],harvey ball,,311.3710327,327.6916618,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,40,,03.02.10,,,,,
13,['590'],harvey ball,,169.3285065,185.6491356,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,35,,03.02.11,,,,,
14,['600'],harvey ball,,248.2410278,264.561657,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,36,,03.02.12,,,,,
15,['601'],harvey ball,,279.8060608,296.1266899,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,37,,03.02.13,,,,,
